"rv_id","rtr_id","rv_rating","rv_comment","rv_dateposted","c_id"
"1","1","5","Amazing pizza!","2024-01-01","1"
"2","2","4","Great sushi selection.","2024-01-02","2"
"3","3","3","Average burgers.","2024-01-03","3"
"4","4","5","Best tacos in town!","2024-01-04","4"
"5","5","4","Loved the pasta!","2024-01-05","5"
"6","6","2","Not spicy enough.","2024-01-06","6"
"7","7","4","Steaks were cooked perfectly.","2024-01-07","7"
"8","8","5","Desserts were heavenly!","2024-01-08","8"
"9","9","3","Decent vegan options.","2024-01-09","9"
"10","10","5","BBQ was incredible!","2024-01-10","10"
"11","6","5","Really Spicy!!!","2024-01-12","1"
"22","3","1","again me","2024-12-06","1"
"25","3","4","Loved the food!","2024-12-06","1"
